image_link,entity_name,entity_value,classification
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,item_weight,500.0 gram,True
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,item_volume,1.0 cup,True
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,item_weight,0.709 gram,True
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,item_weight,0.709 gram,True
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,item_weight,1400 milligram,True
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,item_weight,1400 milligram,True
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,item_weight,1400 milligram,True
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,item_weight,1400 milligram,True
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,item_weight,1400 milligram,True
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,item_weight,1400 milligram,True
https://m.media-amazon.com/images/I/81N73b5khVL.jpg,item_weight,30.0 kilogram,False
https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,item_weight,10 kilogram to 15 kilogram,True
https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,item_weight,3.53 ounce,True
https://m.media-amazon.com/images/I/81fOxWWWKYL.jpg,item_weight,3.53 ounce,True
https://m.media-amazon.com/images/I/81dzao1Ob4L.jpg,item_weight,53 ounce,True
https://m.media-amazon.com/images/I/91-iahVGEDL.jpg,item_weight,100 gram,True
https://m.media-amazon.com/images/I/81S2+GnYpTL.jpg,item_weight,200 gram,True
https://m.media-amazon.com/images/I/81e2YtCOKvL.jpg,item_weight,1 kilogram,True
https://m.media-amazon.com/images/I/81RNsNEM1EL.jpg,item_weight,200 gram,True
https://m.media-amazon.com/images/I/91prZeizZnL.jpg,item_weight,200 gram,True
https://m.media-amazon.com/images/I/31EvJszFVfL.jpg,item_weight,200 gram,True
https://m.media-amazon.com/images/I/61wzlucTREL.jpg,item_volume,4.0 gallon,True
https://m.media-amazon.com/images/I/61sQ+qAKr4L.jpg,item_weight,2.7 gram,True
https://m.media-amazon.com/images/I/81x77l2T5NL.jpg,item_weight,112 gram,True
https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,item_weight,4.1 kilogram,Unknown
https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,voltage,48.0 volt,True
https://m.media-amazon.com/images/I/51WsuKKAVrL.jpg,item_weight,158.0 gram,True
https://m.media-amazon.com/images/I/61XGDKap+JL.jpg,item_weight,158.0 gram,True
https://m.media-amazon.com/images/I/715vVcWJxGL.jpg,item_weight,5000 milligram,True
https://m.media-amazon.com/images/I/613v+2W4UwL.jpg,item_weight,18.55 gram,True
https://m.media-amazon.com/images/I/71+fn9TWQmL.jpg,item_weight,18.55 gram,True
https://m.media-amazon.com/images/I/71aKgRRQ2wL.jpg,item_weight,18.55 gram,True
https://m.media-amazon.com/images/I/71rKXZJrh4L.jpg,item_weight,18.55 gram,True
https://m.media-amazon.com/images/I/71D824lbRvL.jpg,item_weight,18.55 gram,True
https://m.media-amazon.com/images/I/71004c9tzfL.jpg,item_weight,50.0 gram,True
https://m.media-amazon.com/images/I/51bQPPtMqYL.jpg,item_weight,26.0 gram,True
https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,wattage,800.0 watt,True
https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,voltage,36.0 volt,True
https://m.media-amazon.com/images/I/71IUuTJ8QwL.jpg,item_weight,330.0 pound,True
https://m.media-amazon.com/images/I/915JHkwtcrL.jpg,item_weight,31.0 ounce,True
https://m.media-amazon.com/images/I/71cjrYndwIL.jpg,item_weight,0.35 ounce,True
https://m.media-amazon.com/images/I/81hnk2WXO3L.jpg,item_weight,35.0 gram,True
https://m.media-amazon.com/images/I/61HXgujoxpL.jpg,wattage,150.0 watt,True
https://m.media-amazon.com/images/I/613G8GOyLSL.jpg,wattage,150.0 watt,True
https://m.media-amazon.com/images/I/71YyZ2iPyZL.jpg,wattage,30.0 watt,True
https://m.media-amazon.com/images/I/81K3JwUCnQL.jpg,wattage,30.0 watt,True
https://m.media-amazon.com/images/I/41wvffSxB4L.jpg,item_weight,15.5 gram,True
https://m.media-amazon.com/images/I/91cErO-KbLL.jpg,item_weight,200.0 gram,True
https://m.media-amazon.com/images/I/817vo3DcCNL.jpg,wattage,250.0 watt,True
